TransactionID,CustomerID,TransactionTimestamp,Amount,TransactionType,Channel,CustomerAge,CustomerOccupation,CustomerSegment,PaymentMethod,TransactionStatus,Location,CustomerTenure
TX1002000,TCB10113,2024-11-12 22:32:51.601122,2727000,Thanh toán hóa đơn,Mobile App,33,Kỹ sư,Gold,QR Code,Thành công,Hải Phòng,13
TX1002001,TCB10006,2024-11-13 01:12:07.663590,100000,Sức khỏe,Mobile App,55,Sinh viên,Standard,Chuyển khoản (App),Thành công,Cần Thơ,8
TX1002002,TCB10069,2024-11-14 08:12:23.487746,4483000,Thanh toán hóa đơn,Mobile App,46,Giáo viên,Gold,Chuyển khoản (App),Thành công,Đồng Nai,15
TX1002003,TCB10031,2024-11-14 10:01:47.404539,1460000,Thanh toán hóa đơn,POS,50,Sinh viên,Gold,Thẻ tín dụng,Thành công,Bình Dương,3
TX1002004,TCB10094,2024-11-14 16:14:15.232477,189000,Giải trí,Mobile App,43,Lập trình viên,Priority,QR Code,Thành công,Hải Phòng,22
TX1002005,TCB10069,2024-11-18 05:34:43.188555,1935000,Ăn uống,Tại quầy (OTC),46,Giáo viên,Gold,Thẻ ghi nợ,Thành công,Đồng Nai,15
TX1002006,TCB10002,2024-11-19 06:45:01.898552,5257000,Thanh toán hóa đơn,POS,63,Bác sĩ,Gold,Thẻ ghi nợ,Thành công,Đồng Nai,27
TX1002007,TCB10132,2024-11-19 09:00:58.147425,5838000,Thanh toán hóa đơn,POS,49,Lập trình viên,Priority,QR Code,Thành công,Cần Thơ,20
TX1002008,TCB10098,2024-11-19 11:29:36.735012,100000,Giáo dục,ATM,19,Nội trợ,Standard,Thẻ ghi nợ,Thành công,Hải Phòng,1
TX1002009,TCB10112,2024-11-19 13:56:22.953392,199000,Ăn uống,Mobile App,38,Bác sĩ,Standard,QR Code,Thành công,TP. Hồ Chí Minh,5
